"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"PRKODE";"PRNTOE";"GPKODE";"THEMBT";"HPEMBT";"THEHHV";"XPEHHV";"HPGALG";"THHMA1";"HPHMA1";"HPHMH1";"THHMA2";"HPHMA2";"HPHMH2";"HPMPJN";"HPGVBL";"HPGVBB";"HPGIUD";"THHULI";"PRHULI";"HPINST";"THKEXT";"PRKEXT";"SourceCode"
"0051";"0";0;"";"00199087";"";"00178918";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199095";WWSP 50ML;"00167142";"0073";"000011";"0002";"000233";50.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"1";1;"0000002552";"00199109";"";"00178926";"0073";"";"0002";"000233";250.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199125";FL TOEB;"00178934";"0073";"000004";"0002";"000245";0.0;"0077";"000023";"01";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199133";FL TOEB;"00178942";"0073";"000004";"0002";"000245";0.0;"0077";"000023";"01";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90050231";"";"90050223";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90050282";"";"90050274";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90050320";"";"90050312";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90050363";"";"90050355";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90050436";"";"90050401";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90050479";"";"90050460";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90054229";"";"90054210";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90054431";"";"90054423";"0073";"000004";"0002";"000233";40.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90054482";FL 10ML;"90054474";"0073";"000004";"0002";"000233";10.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90055055";"";"90055047";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199168";FL TOEB;"00178950";"0073";"000004";"0002";"000245";0.0;"0077";"000023";"01";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199176";FL TOEB;"00178969";"0073";"000004";"0002";"000245";0.0;"0077";"000023";"01";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199184";FL TOEB;"00178977";"0073";"000004";"0002";"000245";0.0;"0077";"000023";"01";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"1";1;"";"00199192";FL 50ML;"00022411";"0073";"000004";"0002";"000233";50.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199206";FL 50ML;"00178985";"0073";"000004";"0002";"000233";50.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199214";ZAK 250ML;"00178993";"0073";"000012";"0002";"000233";250.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199222";"";"00179000";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199230";FL 14ML;"00172928";"0073";"000004";"0002";"000233";14.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199257";AMP 1ML;"00165417";"0073";"000001";"0002";"000233";1.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199265";"";"00179019";"0073";"";"0002";"000233";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199273";FL 50ML;"00179027";"0073";"000004";"0002";"000233";50.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199281";FL 50ML;"00179035";"0073";"000004";"0002";"000233";50.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199303";"";"00179043";"0073";"";"0002";"000233";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199311";"";"00179051";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199338";"";"00179078";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199346";FL 4ML;"00139351";"0073";"000004";"0002";"000233";4.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199354";ZAK 1500ML;"00179086";"0073";"000012";"0002";"000233";1500.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199370";"";"00179108";"0073";"";"0002";"000215";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199389";"";"00179116";"0073";"";"0002";"000215";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199400";ZAK 100ML;"00169196";"0073";"000012";"0002";"000233";100.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199419";INFPOMP 120ML;"00174858";"0073";"000020";"0002";"000233";120.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199443";CASSETTE 100M;"00179159";"0073";"000025";"0002";"000233";100.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199451";INFPOMP 120ML;"00179167";"0073";"000020";"0002";"000233";120.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"";"00199478";"";"00179175";"0073";"";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"0";0;"0000002238";"00139084";"";"00167541";"0073";"";"0002";"000233";50.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
